athlete_id,athlete_name,event_date,event_name,race_category,distance,finish_status,finish_position,field_size,finish_pct,total_time,swim_time,bike_time,run_time
97,Sullivan Middaugh,2024-09-08,2024 World Triathlon Cup Karlovy Vary,other,standard,FINISH,20.0,52,0.38461538461538464,01:57:19,00:19:23,01:04:40,00:32:27
97,Sullivan Middaugh,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,standard,FINISH,28.0,70,0.4,01:51:10,00:21:02,00:56:37,00:31:55
97,Sullivan Middaugh,2024-11-09,2024 World Triathlon Cup Miyazaki,other,sprint,FINISH,23.0,42,0.5476190476190477,00:55:52,00:09:38,00:29:12,00:15:37
97,Sullivan Middaugh,2025-02-23,2025 World Triathlon Cup Napier,other,sprint,FINISH,9.0,35,0.2571428571428571,00:50:58,00:09:05,00:25:56,00:15:05
97,Sullivan Middaugh,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,3.0,69,0.043478260869565216,00:53:29,00:11:53,00:26:35,00:14:20
97,Sullivan Middaugh,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,14.0,58,0.2413793103448276,00:50:59,00:09:28,00:24:30,00:16:00
97,Sullivan Middaugh,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,FINISH,2.0,70,0.02857142857142857,01:53:30,00:20:18,00:55:47,00:34:22
97,Sullivan Middaugh,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,FINISH,1.0,38,0.02631578947368421,01:53:30,00:20:18,00:55:47,00:34:22
97,Sullivan Middaugh,2025-07-12,2025 World Triathlon Championship Series Hamburg,championship,sprint,FINISH,45.0,55,0.8181818181818182,00:54:27,00:09:50,00:28:12,00:15:33
97,Sullivan Middaugh,2025-08-09,2025 Americas Triathlon Cup Kelowna,continental_cup,sprint,FINISH,5.0,63,0.07936507936507936,00:53:32,00:10:29,00:27:07,00:14:49
97,Sullivan Middaugh,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,FINISH,28.0,59,0.4745762711864407,01:48:44,00:18:42,00:57:07,00:31:43
97,Sullivan Middaugh,2025-11-02,2025 World Triathlon Cup Vina del Mar,other,sprint,FINISH,23.0,65,0.35384615384615387,00:50:43,00:08:58,00:25:16,00:15:12
97,Sullivan Middaugh,2025-11-09,2025 World Triathlon Cup San Pedro de la Paz,other,sprint,FINISH,10.0,66,0.15151515151515152,00:55:10,00:09:11,00:30:01,00:14:34
98,Porter Middaugh,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,33.0,66,0.5,00:59:03,00:10:16,00:29:08,00:18:28
98,Porter Middaugh,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,sprint,FINISH,55.0,71,0.7746478873239436,01:01:21,00:10:48,00:30:11,00:18:47
98,Porter Middaugh,2025-02-16,2025 Americas Triathlon Cup La Habana,continental_cup,sprint,FINISH,6.0,27,0.2222222222222222,00:54:42,00:09:16,00:29:04,00:15:32
98,Porter Middaugh,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,10.0,69,0.14492753623188406,00:53:48,00:11:37,00:26:51,00:14:35
98,Porter Middaugh,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,19.0,58,0.3275862068965517,00:51:24,00:09:33,00:24:33,00:16:16
98,Porter Middaugh,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,DNF,,38,,DNF,00:20:39,00:22:17,00:00:00
98,Porter Middaugh,2025-06-07,2025 Americas Triathlon Championships Calima,championship,standard,DNF,,70,,DNF,00:20:39,00:22:17,00:00:00
98,Porter Middaugh,2025-07-12,2025 Americas Triathlon Cup Magog,continental_cup,sprint,FINISH,1.0,70,0.014285714285714285,00:55:31,00:09:20,00:30:28,00:15:03
98,Porter Middaugh,2025-07-19,2025 Americas Triathlon Cup Montreal,continental_cup,sprint,FINISH,35.0,70,0.5,00:53:46,00:09:53,00:27:00,00:15:53
98,Porter Middaugh,2025-08-09,2025 Americas Triathlon Cup Kelowna,continental_cup,sprint,FINISH,18.0,63,0.2857142857142857,00:54:45,00:10:34,00:27:31,00:15:35
98,Porter Middaugh,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,LAP,,59,,LAP,00:17:56,00:00:00,00:00:00
98,Porter Middaugh,2025-11-02,2025 Americas Triathlon Cup Vina del Mar,continental_cup,sprint,FINISH,8.0,69,0.11594202898550725,00:55:19,00:11:46,00:26:59,00:15:10
